station,n
138 St-Grand Concourse 4 subway 5 subway,"3,480"
149 St-Grand Concourse 2 subway 4 subway 5 subway,"14,465"
161 St-Yankee Stadium B subway D subway 4 subway,"27,020"
167 St 4 subway,"9,923"
167 St B subwayD subway*,"10,166"
170 St 4 subway,"9,507"
170 St B subwayD subway,"7,101"
174 St 2 subway 5 subway,"7,619"
174-175 Sts B subway D subway*,"5,312"
176 St 4 subway,"6,160"
182-183 Sts B subway D subway,"5,020"
183 St 4 subway,"6,372"
219 St 2 subway 5 subway,"3,529"
225 St 2 subway 5 subway,"4,591"
231 St 1 subway,"9,596"
233 St 2 subway 5 subway ,"5,632"
238 St 1 subway *,"4,068"
3 Av-138 St 6 subway,"7,994"
3 Av-149 St 2 subway 5 subway ,"24,813"
Allerton Av 2 subway 5 subway ,"5,779"
Baychester Av 5 subway,"4,090"
Bedford Park Blvd B subway D subway,"7,046"
Bedford Park Blvd-Lehman College 4 subway,"6,040"
Bronx Park East 2 subway 5 subway,"2,868"
Brook Av 6 subway,"6,244"
Buhre Av 6 subway*,"2,237"
Burke Av 2 subway 5 subway,"3,644"
Burnside Av 4 subway,"11,551"
Castle Hill Av 6 subway*,"7,174"
Cypress Av 6 subway,"3,974"
East 143 St-St Mary's St 6 subway,989
East 149 St 6 subway,"4,647"
East 180 St 2 subway 5 subway,"7,587"
Eastchester-Dyre Av 5 subway,"4,845"
Elder Av6 subway,"6,543"
Fordham Rd 4 subway,"11,982"
Fordham Rd B subway D subway,"12,145"
Freeman St 2 subway 5 subway,"4,899"
Gun Hill Rd 2 subway 5 subway,"7,790"
Gun Hill Rd 5 subway,"5,880"
Hunts Point Av 6 subway,"10,484"
Intervale Av 2 subway 5 subway,"3,472"
Jackson Av 2 subway 5 subway,"5,705"
Kingsbridge Rd 4 subway,"10,107"
Kingsbridge Rd B subway D subway,"8,006"
Longwood Av 6 subway,"3,482"
Middletown Rd 6 subway*,"2,726"
Morris Park 5 subway,"2,319"
Morrison Av-Soundview 6 subway,"6,628"
Mosholu Pkwy 4 subway,"9,252"
Mt Eden Av 4 subway ,"5,817"
Nereid Av 2 subway 5 subway,"3,817"
Norwood-205 St D subway,"8,640"
Parkchester 6 subway,"16,572"
Pelham Bay Park 6 subway,"7,432"
Pelham Pkwy 2 subway 5 subway,"9,774"
Pelham Pkwy 5 subway,"3,303"
Prospect Av 2 subway 5 subway,"7,908"
Simpson St 2 subway 5 subway,"9,981"
St Lawrence Av 6 subway,"4,185"
Tremont Av B subway D subway,"9,980"
Van Cortlandt Park-242 St 1 subway,"7,338"
Wakefield-241 St2 subway*,"5,186"
West Farms Sq-East Tremont Av 2 subway 5 subway,"8,010"
Westchester Sq-East Tremont Av 6 subway,"6,912"
Whitlock Av 6 subway ,"1,737"
Woodlawn 4 subway,"7,637"
Zerega Av 6 subway*,"1,647"
15 St-Prospect Park F subway G subway,"6,385"
18 Av D subway,"6,242"
18 Av F subway,"4,458"
18 Av N subway*,"5,502"
20 Av D subway,"5,115"
20 AvN subway*,"4,223"
25 Av D subway,"4,886"
25 St R subway,"3,847"
36 St D subway N subway R subway,"12,810"
4 Av F subway G subway/9 St R subway,"13,126"
45 St R subway,"7,265"
50 St D subway,"3,220"
53 St R subway *,"7,458"
55 St D subway,"2,002"
59 St N subway R subway,"13,048"
7 Av B subway Q subway ,"9,641"
7 Av F subway G subway,"12,049"
71 St D subway,"4,802"
77 St R subway ,"5,608"
79 St D subway,"6,755"
8 Av N subway,"11,430"
86 St N subway*,"2,718"
86 St R subway,"11,963"
9 Av D subway,"5,856"
Alabama Av J subway,"2,520"
Atlantic Av L subway*,"1,384"
"Atlantic Av-Barclays Ctr (B subway,D subway,N subway,Q subway,R subway,2 subway,","42,231"
Avenue H Q subway,"2,994"
Avenue I F subway*,"2,235"
Avenue J Q subway,"6,009"
Avenue M Q subway,"5,869"
Avenue N F subway*,"3,410"
Avenue P F subway*,"2,804"
Avenue U F subway*,"2,439"
Avenue U N subway*,"3,894"
Avenue U Q subway,"6,975"
Avenue X F subway*,"1,928"
Bay 50 St D subway,"2,872"
Bay Pkwy D subway,"7,501"
Bay Pkwy F subway*,"1,491"
Bay Pkwy N subway,"7,164"
Bay Ridge Av R subway*,"8,379"
Bay Ridge-95 St R subway,"6,101"
Bedford Av L subway,"27,132"
Bedford-Nostrand Avs G subway ,"8,197"
Bergen St 2 subway 3 subway,"3,823"
Bergen St F subway G subway,"11,548"
Beverley RdQ subway*,"2,894"
Beverly Rd 2 subway 5 subway,"4,457"
Brighton Beach B subway Q subway,"12,794"
Broadway G subway,"4,011"
Broadway Junction A subway C subway J subway L subway Z subway,"9,251"
Bushwick Av-Aberdeen St L subway,"1,874"
Canarsie-Rockaway Pkwy L subway,"13,481"
Carroll St F subway G subway,"11,923"
Central Av M subway*,"3,715"
Chauncey St J subway Z subway,"3,200"
Church Av 2 subway 5 subway,"9,864"
Church Av B subway Q subway,"17,811"
Church Av F subway G subway*,"10,490"
Clark St 2 subway 3 subway,"5,922"
Classon Av G subway,"4,966"
Cleveland St J subway,"3,514"
Clinton-Washington Avs C subway ,"6,603"
Clinton-Washington Avs G subway,"5,364"
Coney Island-Stillwell Av D subway F subway N subway Q subway,"14,073"
Cortelyou Rd Q subway*,"6,220"
Court St R subway/Borough Hall 2 subway 3 subway 4 subway 5 subway,"38,559"
Crescent St J subway Z subway,"5,073"
Crown Heights-Utica Av 3 subway 4 subway,"28,146"
Cypress Hills J subway,"1,456"
DeKalb Av B subway Q subway R subway ,"17,889"
DeKalb Av L subway,"12,158"
Ditmas Av F subway *,"3,386"
East 105 St L subway,"4,002"
Eastern Pkwy-Brooklyn Museum 2 subway 3 subway,"4,915"
Euclid Av A subway C subway,"11,014"
Flatbush Av-Brooklyn College 2 subway 5 subway ,"21,666"
Flushing Av G subway,"2,819"
Flushing Av J subway M subway,"9,483"
Fort Hamilton Pkwy D subway,"4,260"
Fort Hamilton Pkwy F subwayG subway*,"5,783"
Fort Hamilton Pkwy N subway*,"6,964"
Franklin Av 2 subway 3 subway 4 subway 5 subway/Botanic Garden S subway,"15,866"
Franklin Av C subway S subway,"6,468"
Fulton St G subway,"4,954"
Gates Av J subway Z subway,"6,521"
Graham Av L subway,"10,504"
Grand Army Plaza 2 subway 3 subway,"7,731"
Grand St L subway,"7,307"
Grant Av A subway,"6,696"
Greenpoint Av G subway*,"9,191"
Halsey St J subway,"6,410"
Halsey St L subway,"7,932"
Hewes St J subway M subway,"2,992"
High St A subway C subway,"8,479"
Hoyt St 2 subway 3 subway,"7,342"
Hoyt-Schermerhorn Sts A subway C subway G subway,"9,818"
Jay St-MetroTech A subway C subway F subway R subway,"43,456"
Jefferson St L subway,"7,565"
Junius St 3 subway*,"3,043"
Kings Hwy B subway Q subway,"19,500"
Kings Hwy F subway,"3,726"
Kings Hwy N subway *,"5,482"
Kingston Av 3 subway,"4,999"
Kingston-Throop Avs C subway,"6,210"
Knickerbocker Av M subway*,"4,104"
Kosciuszko St J subway,"4,927"
Lafayette Av C subway ,"4,849"
Liberty Av C subway,"2,780"
Livonia Av L subway,"3,269"
Lorimer St J subway M subway,"5,070"
Lorimer St L subway/Metropolitan Av G subway,"15,131"
Marcy Av J subway M subway Z subway,"13,276"
Montrose Av L subway,"7,025"
Morgan Av L subway,"7,221"
Myrtle Av J subway M subway Z subway,"11,424"
Myrtle-Willoughby Avs G subway,"5,783"
Myrtle-Wyckoff Avs L subway M subway,"19,490"
Nassau Av G subway,"9,066"
Neck Rd Q subway,"4,207"
Neptune Av F subway*,"1,807"
Nevins St 2 subway 3 subway 4 subway 5 subway,"10,896"
New Lots Av 3 subway,"7,133"
New Lots Av L subway,"5,244"
New Utrecht Av N subway/62 St D subway*,"5,551"
Newkirk Av 2 subway 5 subway,"8,035"
Newkirk Plaza B subway Q subway,"10,864"
Norwood Av J subway Z subway,"3,639"
Nostrand Av 3 subway,"4,306"
Nostrand Av A subway C subway,"17,790"
Ocean Pkwy Q subway*,"3,203"
Park Pl S subway,"1,922"
Parksde Av Q subway*,"5,266"
Pennylvania Av 3 subway*,"6,997"
President St 2 subway 5 subway,"4,120"
Prospect Av R subway*,"5,896"
Prospect Park B subway Q subway S subway,"10,033"
Ralph Av C subway,"5,796"
Rockaway Av 3 subway*,"1,690"
Rockaway Av C subway,"5,443"
Saratoga Av 3 subway *,"8,148"
Sheepshead Bay B subway Q subway,"14,304"
Shepherd Av C subway,"3,370"
Smith-9 Sts F subway G subway*,"5,084"
Sterling St 2 subway 5 subway ,"5,802"
Sutter Av L subway,"4,727"
Sutter Av-Rutland Rd 3 subway*,"8,031"
Union St R subway,"6,599"
Utica Av A subway C subway ,"15,674"
Van Siclen Av 3 subway*,989
Van Siclen Av C subway,"3,202"
Van Siclen Av J subway Z subway ,"3,004"
West 8 St-New York Aquarium F subway Q subway*,"2,397"
Wilson Av L subway*,"4,437"
Winthrop St 2 subway 5 subway,"7,541"
York St F subway,"9,328"
1 Av L subway ,"23,789"
103 St 1 subway,"13,309"
103 St 6 subway*,"13,057"
103 St B subway C subway,"4,800"
110 St 6 subway,"13,409"
116 St 2 subway 3 subway ,"12,196"
116 St 6 subway,"16,702"
116 St B subway C subway,"7,215"
116 St-Columbia University 1 subway,"16,132"
125 St 1 subway,"7,991"
125 St 2 subway 3 subway ,"15,986"
125 St 4 subway 5 subway 6 subway,"30,277"
125 St A subway B subway C subway D subway,"29,062"
135 St 2 subway 3 subway ,"15,598"
135 St B subway C subway,"5,575"
137 St-City College 1 subway,"14,798"
14 St A subway C subway E subway/8 Av L subway ,"45,253"
14 St F subway M subway 1 subway 2 subway 3 subway/6 Av L subway ,"50,335"
14 St-Union Sq L subway N subway Q subway R subway W subway 4 subway 5 subway 6 subway,"108,440"
145 St 1 subway,"10,112"
145 St 3 subway*,"3,664"
145 St A subway B subway C subway D subway,"24,307"
155 St B subway D subway,"4,038"
155 St C subway,"2,596"
157 St 1 subway,"10,918"
163 St-Amsterdam Av C subway*,"4,340"
168 St A subway C subway 1 subway,"25,845"
175 St A subway,"13,224"
18 St 1 subway,"8,800"
181 St 1 subway,"11,850"
181 St A subway,"11,237"
190 St A subway,"4,683"
191 St 1 subway,"8,619"
2 Av F subway,"17,355"
207 St 1 subway,"6,514"
215 St 1 subway,"2,012"
23 St 1 subway,"15,451"
23 St 6 subway,"29,972"
23 St C subway E subway,"25,731"
23 St F subway M subway*,"30,652"
23 St  R subwayW subway,"25,973"
28 St 1 subway,"15,620"
28 St 6 subway*,"24,470"
28 St R subwayW subway,"13,271"
3 Av L subway,"7,140"
33 St 6 subway,"32,809"
34 St-Herald Square B subway D subway F subway M subway N subway Q subway R subway W subway,"126,776"
34 St-Hudson Yards 7 subway,"2,064"
34 St-Penn Station 1 subway 2 subway 3 subway ,"92,176"
34 St-Penn Station A subway C subway E subway ,"84,778"
42 St-Bryant Pk B subway D subway F subway M subway/5 Av 7 subway,"55,400"
47-50 Sts-Rockefeller Center B subway D subway F subway M subway,"63,803"
49 St N subway W subway R subway,"25,459"
5 Av-53 St E subway M subway,"26,955"
5 Av-59 St N subwayW subwayR subway,"18,957"
50 St 1 subway,"26,927"
50 St C subway E subway,"20,828"
57 St F subway *,"15,725"
57 St-7 Av N subway Q subway R subway W subway,"29,976"
59 St-Columbus Circle A subway B subway C subway D subway 1 subway,"73,954"
66 St-Lincoln Center 1 subway,"24,631"
68 St-Hunter College 6 subway,"35,640"
7 Av B subway D subway E subway,"17,356"
72 St 1 subway 2 subway 3 subway,"40,506"
72 St B subway C subway*,"9,443"
77 St 6 subway,"36,797"
79 St 1 subway,"16,865"
8 St-New York University  R subway W subway,"17,902"
81 St-Museum of Natural History B subway C subway,"14,129"
86 St 1 subway,"20,145"
86 St 4 subway 5 subway 6 subway,"65,948"
86 St B subway C subway*,"11,594"
96 St 1 subway 2 subway 3 subway,"39,434"
96 St 6 subway,"28,060"
96 St B subwayC subway,"10,365"
Astor Place 6 subway,"17,274"
Bowery J subway Z subway,"3,325"
Bowling Green 4 subway 5 subway,"31,556"
Broad St J subway Z subway,"6,865"
Broadway-Lafayette St B subway D subway F subway M subway/Bleecker St 6 subway,"39,724"
Brooklyn Bridge-City Hall 4 subway 5 subway 6 subway/Chambers St J subway Z subway,"35,858"
Canal St 1 subway,"6,275"
Canal St A subway C subway E subway,"20,103"
Canal St J subway N subway Q subway R subway W subway  Z subway 6 subway,"44,409"
Cathedral Pkwy-110 St 1 subway,"13,444"
Cathedral Pkwy-110 St B subway C subway*,"7,490"
Central Park North-110 St 2 subway 3 subway,"9,865"
Chambers St 1 subway 2 subway 3 subway,"23,997"
Chambers St A subway C subway/WTC E subway/Park Place 2 subway 3 subway,"66,165"
Christopher St-Sheridan Sq 1 subway,"9,898"
City Hall R subway W subway,"6,310"
Delancey St F subway/Essex St J subway M subway Z subway,"24,902"
Dyckman St 1 subway,"7,233"
Dyckman St A subway,"6,831"
East Broadway F subway,"14,228"
Franklin St 1 subway,"5,825"
Fulton St A subway C subway J subway Z subway 2 subway 3 subway 4 subway 5 subway,"74,676"
Grand Central-42 St S subway 4 subway 5 subway 6 subway 7 subway,"160,294"
Grand St B subway D subway,"24,281"
Harlem-148 St 3 subway ,"4,096"
Houston St 1 subway,"15,286"
Inwood-207 St A subway,"9,317"
Lexington Av N subwayW subway R subway/59 St 4 subway 5 subway 6 subway,"68,988"
Lexington Av-53 St E subway M subway/51 St 6 subway,"70,686"
Lexington Av-63 St F subway Q subway,"16,098"
Marble Hill-225 St 1 subway,"5,732"
Prince St  R subwayW subway,"15,597"
Rector St 1 subway,"10,625"
Rector St R subwayW subway,"6,157"
Roosevelt Island F subway,"6,197"
South Ferry 1 subway/Whitehall St R subwayW subway*,"28,809"
Spring St 6 subway,"11,543"
Spring St C subway E subway,"12,914"
Times Sq-42 St N subway Q subway R subwayW subway S subway 1 subway 2 subway 3 subway 7 subway/42 St A subway C subway E subway,"206,247"
Wall St 2 subway 3 subway,"27,242"
Wall St 4 subway 5 subway,"23,595"
West 4 St-Washington Sq A subway B subway C subway D subway E subway F subway M subway,"42,760"
103 St-Corona Plaza 7 subway,"20,044"
104 St A subway*,"1,890"
104 St J subway Z subway*,"2,710"
111 St 7 subway,"11,198"
111 St A subway*,"2,727"
111 St J subway,"2,627"
121 St J subway Z subway*,"2,462"
169 St F subway,"9,138"
21 St G subway*,"1,564"
21 St-Queensbridge F subway,"9,447"
30 Av N subway W subway*,"14,771"
33 St-Rawson St 7 subway,"13,604"
36 Av N subwayW subway*,"7,447"
36 St M subway R subway,"4,733"
39 Av-Dutch kills N subwayW subway*,"3,391"
40 St-Lowery St 7 subway,"11,053"
46 St M subway R subway,"9,439"
46 St-Bliss St 7 subway,"14,413"
52 St 7 subway,"6,888"
63 Dr-Rego Park M subway R subway,"16,770"
65 St M subway R subway,"3,762"
67 Av M subway R subway,"9,548"
69 St 7 subway,"4,988"
74-Bway 7 subway/Jackson Hts-Roosevelt Av E subway F subway M subway R subway,"51,925"
75 Av E subway F subway,"3,756"
75 St-Elderts Ln J subway Z subway,"3,837"
80 St A subway*,"4,445"
82 St-Jackson Hts 7 subway,"15,711"
85 St-Forest Pkwy J subway,"3,947"
88 St A subway *,"3,464"
90 St-Elmhurst Av 7 subway,"16,814"
Aqueduct Racetrack A subway,1711
Aqueduct-North Conduit Av A subway,"1,181"
Astoria Blvd N subwayW subway,"12,344"
Astoria-Ditmars Blvd N subwayW subway,"17,181"
Beach 105 St A subway S subway*,305
Beach 25 St A subway*,1861
Beach 36 St A subway*,936
Beach 44 St A subway*,624
Beach 60 St A subway*,"2,501"
Beach 67 St-Arverne By The Sea A subway*,"2,407"
Beach 90 St A subway S subway*,946
Beach 98 St A subway S subway*,608
Briarwood-Van Wyck Blvd E subway F subway,"4,876"
Broad Channel A subway S subway*,310
Broadway N subwayW subway*,"13,236"
Court Sq E subway G subway M subway 7 subway,"22,717"
Elmhurst Av M subway R subway,"13,588"
Far Rockaway-MottAv A subway*,"4,989"
Flushing-Main St 7 subway,"60,226"
Forest Av M subway*,"4,386"
Forest Hills-71 Av E subway F subway M subway R subway,"28,209"
Fresh Pond Rd M subway*,"6,002"
Grand Av-Newtown M subway R subway,"18,955"
Howard Beach-JFK Airport A subway,"3,059"
Hunters Point Av 7 subway,"6,803"
Jamaica Center-Parsons-Archer E subway J subway Z subway,"42,115"
Jamaica-179 St F subway,"23,417"
Jamaica-Van Wyck E subway,"5,092"
Junction Blvd 7 subway,"21,557"
Kew Gardens-Union Turnpike E subway F subway,"27,558"
Mets-Willets Point 7 subway,"5,244"
Middle Village-Metropolitan Av M subway*,"4,489"
Northern Blvd M subway R subway,"7,428"
Ozone Park-Lefferts Blvd A subway,"7,732"
Parsons Blvd F subway,"6,640"
Queens Plaza E subway M subway R subway,"10,475"
Queensboro Plaza N subwayW subway 7 subway,"11,786"
Rockaway Blvd A subway*,"5,690"
Rockaway Park-Beach 116 St A subway S subway*,747
Seneca Av M subway*,"2,726"
Steinway St M subway R subway,"14,895"
Sutphin Blvd F subway,"4,851"
Sutphin Blvd-Archer Av-JFK Airport E subway J subway Z subway,"24,349"
Vernon Blvd-Jackson Av 7 subway,"14,819"
Woodhaven Blvd J subway Z subway,"4,940"
Woodhaven Blvd M subway R subway,"22,220"
Woodside-61 St 7 subway,"17,007"